condition,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,micro_f1_mean,micro_f1_std,weighted_f1_mean,weighted_f1_std,macro_auc_mean,macro_auc_std,F1_DIR_mean,F1_DIR_std,F1_DM_mean,F1_DM_std,F1_INTJ_mean,F1_INTJ_std,F1_AS_mean,F1_AS_std,AUC_DIR_mean,AUC_DIR_std,AUC_DM_mean,AUC_DM_std,AUC_INTJ_mean,AUC_INTJ_std,AUC_AS_mean,AUC_AS_std,F1_functions_mean
REAL_PLUS_NEAR,0.7482352941176471,0.030678599553894837,0.5007782040776556,0.065822145234962,0.7482352941176471,0.030678599553894837,0.7218287026114271,0.02975935717994428,0.7112025624428383,0.03664945256870311,0.8447727761764646,0.0271391442169096,0.59052119231531,0.08193231992386336,0.36400932400932395,0.10824056448455856,0.2038095238095238,0.19042856547470194,0.727330779054917,0.04398720331875998,0.8406438631790744,0.027721729119792295,0.6947368421052631,0.08184784541607967,0.5820987654320987,0.10581064405083292,0.5007782040776556
REAL_PLUS_DISTANCE_BALANCED,0.7529411764705882,0.039019115180651744,0.49887133928771393,0.05329817714539305,0.7529411764705882,0.039019115180651744,0.7284370789853017,0.03626202576531124,0.7140166106991257,0.03621068822302087,0.8540218206873196,0.031894433085284495,0.6126190476190476,0.10901668307286104,0.33836829836829835,0.09354925434884676,0.19047619047619047,0.1749635530559413,0.7252873563218392,0.045098116493986845,0.8535211267605634,0.0323781155735143,0.6982456140350877,0.08470452892865452,0.5790123456790124,0.1347391027847331,0.498871339287714
REAL_PLUS_RANDOM,0.7223529411764706,0.03389378891973632,0.48056690445079503,0.06301309698642012,0.7223529411764706,0.03389378891973632,0.7016825309849085,0.03202140424517561,0.7147244319358828,0.046352002846082624,0.8262911275003141,0.0268577764899781,0.5675349318613075,0.08967087042839826,0.3317748917748918,0.0832979629214443,0.19666666666666668,0.18723128893311491,0.7349936143039592,0.048196143982846565,0.8362173038229376,0.032313970998976385,0.6994152046783626,0.07613998032626033,0.5882716049382716,0.15130698694417677,0.48056690445079503
REAL_PLUS_FAR,0.7294117647058823,0.03429971702850176,0.47540484317206266,0.05427883007919466,0.7294117647058823,0.03429971702850176,0.7041772272367502,0.030213618279233447,0.6906332845947546,0.03419474584785168,0.8331129209559928,0.022799757016496093,0.5874008906266971,0.05646238828128742,0.27729603729603725,0.08156203470679453,0.2038095238095238,0.19042856547470194,0.7015325670498085,0.04311314398307561,0.8412474849094567,0.026439810832776155,0.6388888888888888,0.02883491655455556,0.5808641975308642,0.11173947833984924,0.4754048431720628
REAL_PLUS_MIDDLE,0.7341176470588235,0.03489975758633253,0.4727175949595007,0.06672165280805319,0.7341176470588235,0.03489975758633253,0.7066989384650814,0.03320446133199531,0.7139909920638302,0.024262304020683564,0.8374471364147595,0.0237126233361312,0.5904761904761905,0.10493011987960897,0.2758041958041958,0.07287102522387975,0.18714285714285714,0.17959705465518172,0.7172413793103448,0.050304128646944134,0.8446680080482898,0.0160902905219515,0.695906432748538,0.042157517120749145,0.5981481481481482,0.10880231574276888,0.4727175949595008
REAL_ONLY,0.6611764705882353,0.03264573394238024,0.4046638456018141,0.029969242147567684,0.6611764705882353,0.03264573394238024,0.6497259580507662,0.026498522156955036,0.7243320603417056,0.04559354778135614,0.7880278042796783,0.01921079376134844,0.5243027918027918,0.063808464880774,0.1911111111111111,0.1202877209131054,0.1152136752136752,0.10802823742131726,0.7007662835249042,0.0275385686774476,0.841851106639839,0.04823416486973081,0.6263157894736842,0.07460868813712122,0.7283950617283951,0.11298151368964891,0.4046638456018141
