condition,accuracy,macro_f1,micro_f1,weighted_f1,macro_auc,AUC_DIR,AUC_DM,AUC_INTJ,AUC_AS,F1_DIR,F1_DM,F1_INTJ,F1_AS
REAL_ONLY,0.6470588235294118,0.3625615763546798,0.6470588235294118,0.6258823529411764,0.7663143133633195,0.6998722860791826,0.8661971830985915,0.6257309941520468,0.8734567901234568,0.7931034482758621,0.45714285714285713,0.0,0.2
REAL_PLUS_NEAR,0.7294117647058823,0.5250671550671551,0.7294117647058823,0.7068258277670042,0.7402025696334805,0.7458492975734354,0.8088531187122736,0.8011695906432748,0.6049382716049383,0.8253968253968254,0.48,0.46153846153846156,0.3333333333333333
REAL_PLUS_MIDDLE,0.7176470588235294,0.48144877344877346,0.7176470588235294,0.6928683133859604,0.7133003539824685,0.6966794380587484,0.8309859154929577,0.7236842105263157,0.6018518518518519,0.832,0.4444444444444444,0.36363636363636365,0.2857142857142857
REAL_PLUS_FAR,0.7176470588235294,0.4696826645685811,0.7176470588235294,0.6877258913006588,0.6681901727183246,0.6947637292464879,0.8309859154929577,0.6038011695906432,0.5432098765432098,0.8292682926829268,0.5161290322580645,0.2,0.3333333333333333
REAL_PLUS_RANDOM,0.6941176470588235,0.4754224270353302,0.6941176470588235,0.6718532574320051,0.7570565812702389,0.7445721583652618,0.7977867203219317,0.8099415204678363,0.675925925925926,0.8064516129032258,0.42857142857142855,0.3333333333333333,0.3333333333333333
REAL_PLUS_DISTANCE_BALANCED,0.7058823529411765,0.47512568077084205,0.7058823529411765,0.6838266098228148,0.7390677104684074,0.7286079182630908,0.8098591549295774,0.8406432748538011,0.5771604938271604,0.8225806451612904,0.42857142857142855,0.36363636363636365,0.2857142857142857
