condition,accuracy,macro_f1,micro_f1,weighted_f1,macro_auc,AUC_DIR,AUC_DM,AUC_INTJ,AUC_AS,F1_DIR,F1_DM,F1_INTJ,F1_AS
REAL_ONLY,0.6470588235294118,0.4218599033816425,0.6470588235294118,0.6361352657004831,0.6991763294021033,0.6564495530012772,0.7625754527162978,0.7017543859649122,0.675925925925926,0.7652173913043478,0.5,0.2,0.2222222222222222
REAL_PLUS_NEAR,0.7294117647058823,0.5216548157724629,0.7294117647058823,0.7151932266119119,0.7049193674290596,0.6679438058748404,0.8128772635814889,0.7616959064327485,0.5771604938271605,0.8205128205128205,0.6470588235294118,0.3333333333333333,0.2857142857142857
REAL_PLUS_MIDDLE,0.7294117647058823,0.48504901960784313,0.7294117647058823,0.7046828143021914,0.7158991484476305,0.6564495530012772,0.8239436619718311,0.7412280701754386,0.6419753086419753,0.8235294117647058,0.6666666666666666,0.2,0.25
REAL_PLUS_FAR,0.7058823529411765,0.47007894066717604,0.7058823529411765,0.6829880615347744,0.6703550913826938,0.6379310344827587,0.8058350100603622,0.6111111111111112,0.6265432098765432,0.8067226890756303,0.6060606060606061,0.18181818181818182,0.2857142857142857
REAL_PLUS_RANDOM,0.7176470588235294,0.508804328182886,0.7176470588235294,0.7037902827165022,0.6900868898948576,0.6558109833971902,0.8048289738430584,0.7441520467836257,0.5555555555555556,0.8067226890756303,0.6451612903225806,0.3333333333333333,0.25
REAL_PLUS_DISTANCE_BALANCED,0.7411764705882353,0.53125,0.7411764705882353,0.7225490196078432,0.6646060630323132,0.6526181353767561,0.8319919517102616,0.6769005847953216,0.4969135802469136,0.8333333333333334,0.625,0.3333333333333333,0.3333333333333333
