condition,accuracy,macro_f1,micro_f1,weighted_f1,macro_auc,AUC_DIR,AUC_DM,AUC_INTJ,AUC_AS,F1_DIR,F1_DM,F1_INTJ,F1_AS
REAL_ONLY,0.6352941176470588,0.4055377055377055,0.6352941176470588,0.6420194114311761,0.6706756046800397,0.7062579821200511,0.8541247484909456,0.5482456140350876,0.5740740740740742,0.7818181818181819,0.4864864864864865,0.2,0.15384615384615385
REAL_PLUS_NEAR,0.7294117647058823,0.46008158508158514,0.7294117647058823,0.7073358014534485,0.6588701846534384,0.7369093231162197,0.852112676056338,0.6359649122807017,0.4104938271604939,0.8333333333333334,0.5454545454545454,0.46153846153846156,0.0
REAL_PLUS_MIDDLE,0.6941176470588235,0.41839817270851754,0.6941176470588235,0.6770236299648064,0.6823216668882466,0.7618135376756067,0.858148893360161,0.6988304093567251,0.4104938271604939,0.8103448275862069,0.5555555555555556,0.3076923076923077,0.0
REAL_PLUS_FAR,0.6941176470588235,0.42015979189892233,0.6941176470588235,0.681831814108029,0.6590373529970124,0.7349936143039592,0.8360160965794768,0.6608187134502924,0.404320987654321,0.8173913043478261,0.5555555555555556,0.3076923076923077,0.0
REAL_PLUS_RANDOM,0.6941176470588235,0.4460927004030452,0.6941176470588235,0.6881588999236057,0.6469718047254195,0.7528735632183907,0.8611670020120724,0.6374269005847952,0.3364197530864198,0.8103448275862069,0.5454545454545454,0.42857142857142855,0.0
REAL_PLUS_DISTANCE_BALANCED,0.7411764705882353,0.48373436907919665,0.7411764705882353,0.728868778280543,0.6859055483446262,0.7618135376756067,0.880281690140845,0.7002923976608187,0.4012345679012346,0.8448275862068966,0.6285714285714286,0.46153846153846156,0.0
