condition,accuracy,macro_f1,micro_f1,weighted_f1,macro_auc,AUC_DIR,AUC_DM,AUC_INTJ,AUC_AS,F1_DIR,F1_DM,F1_INTJ,F1_AS
REAL_ONLY,0.7176470588235294,0.44152731326644373,0.7176470588235294,0.6944009443242181,0.77711655426949,0.731800766283525,0.8893360160965794,0.7002923976608186,0.7870370370370371,0.8173913043478261,0.6153846153846154,0.3333333333333333,0.0
REAL_PLUS_NEAR,0.8,0.584095566318927,0.8,0.7746116419742263,0.7516524191642201,0.7835249042145593,0.8661971830985915,0.6593567251461987,0.6975308641975309,0.8852459016393442,0.6875,0.36363636363636365,0.4
REAL_PLUS_MIDDLE,0.788235294117647,0.5732364409783764,0.788235294117647,0.7633571741351627,0.7502397059194134,0.776500638569604,0.858148893360161,0.6842105263157895,0.6820987654320988,0.8709677419354839,0.7142857142857143,0.3076923076923077,0.4
REAL_PLUS_FAR,0.7764705882352941,0.5654471544715447,0.7764705882352941,0.7519655667144907,0.7266974953618104,0.7477650063856961,0.8591549295774648,0.6578947368421052,0.6419753086419753,0.8617886178861789,0.6666666666666666,0.3333333333333333,0.4
REAL_PLUS_RANDOM,0.7764705882352941,0.5693404634581105,0.7764705882352941,0.7552731466918319,0.7530141385833766,0.7860791826309068,0.8651911468812876,0.672514619883041,0.6882716049382716,0.8666666666666667,0.6470588235294118,0.36363636363636365,0.4
REAL_PLUS_DISTANCE_BALANCED,0.8117647058823529,0.5710445468509985,0.8117647058823529,0.7849462365591396,0.7381203292664955,0.7637292464878673,0.8591549295774648,0.6228070175438596,0.7067901234567902,0.9032258064516129,0.7142857142857143,0.3333333333333333,0.3333333333333333
